elements;ElementStresses2D&3DXX_NoLayer_NoSystem_fa;ElementStresses2D&3DXY_NoLayer_NoSystem_fa;nodes;Displacement:X_NoLayer_NoSystem_false_None;Displacement:Y_NoLayer_NoSystem_false_None
308;15.88;-1.63;308;-0.02;-0.05
309;5.22;-1.77;309;-0.03;-0.05
310;15.66;-1.63;310;-0.04;-0.06
311;-14.15;-1.63;311;-0.02;-0.07
312;-4.72;-1.77;312;-0.03;-0.08
313;-13.72;-1.63;313;-0.01;-0.06
314;-13.93;-1.63;314;-0.01;-0.08
315;-4.57;-1.77;315;-0.05;-0.07
316;-4.64;-1.77;316;-0.04;-0.07
317;-42.44;-0.35;317;-0.05;-0.08
318;-33.01;-0.91;318;-0.04;-0.08
319;-23.58;-1.34;319;-0.02;-0.03
320;-41.15;-0.35;320;-0.02;-0.04
321;-41.8;-0.35;321;-0.01;-0.03
322;-22.86;-1.34;322;-0.01;-0.04
323;-32;-0.91;323;-0.03;-0.03
324;-23.22;-1.34;324;-0.03;-0.04
325;-32.51;-0.91;325;-0.04;-0.03
326;-14.8;-1.63;326;-0.04;-0.04
327;-4.93;-1.77;327;0.04;-0.06
328;-14.58;-1.63;328;0.03;-0.05
329;-4.86;-1.77;329;0.02;-0.05
330;-14.36;-1.63;330;0.01;-0.05
331;-4.79;-1.77;331;0.04;-0.07
332;-24.66;-1.34;332;0.04;-0.08
333;-24.3;-1.34;333;0.05;-0.07
334;-23.94;-1.34;334;0.05;-0.08
335;-44.39;-0.35;335;0.02;-0.07
336;-34.52;-0.91;336;0.03;-0.08
337;-43.74;-0.35;337;0.01;-0.06
338;-34.02;-0.91;338;0.01;-0.08
339;-43.09;-0.35;339;0.03;-0.03
340;-33.52;-0.91;340;0.03;-0.04
341;33.01;-0.91;341;0.04;-0.03
342;42.44;-0.35;342;0.04;-0.04
343;32;-0.91;343;0.02;-0.03
344;32.51;-0.91;344;0.02;-0.04
345;41.15;-0.35;345;0.01;-0.03
346;41.8;-0.35;346;0.01;-0.04
347;23.58;-1.34;347;-0.09;-0.21
348;23.22;-1.34;348;-0.06;-0.2
349;22.86;-1.34;349;-0.04;-0.2
350;4.72;-1.77;350;-0.02;-0.2
351;14.15;-1.63;351;0;-0.2
352;4.57;-1.77;352;0.02;-0.2
353;4.64;-1.77;353;0.04;-0.2
354;13.72;-1.63;354;0.06;-0.2
355;13.93;-1.63;355;0.09;-0.21
356;34.52;-0.91;356;0;-0.18
357;44.39;-0.35;357;0;-0.16
358;34.02;-0.91;358;0;-0.14
359;43.74;-0.35;359;0;-0.12
360;33.52;-0.91;360;0;-0.11
361;43.09;-0.35;361;-0.02;-0.14
362;24.66;-1.34;362;-0.04;-0.14
363;24.3;-1.34;363;-0.05;-0.14
364;23.94;-1.34;364;-0.07;-0.15
365;4.93;-1.77;365;-0.04;-0.16
366;14.8;-1.63;366;-0.04;-0.18
